	pred	comp_type	is_correct	target_link	pred_link	target_type	pred_type
golf_jugend	golf_jugend	common	True	_	_	concatenation	concatenation
architektur_haus	architektur_haus	common	True	_	_	concatenation	concatenation
gewinner_büro	gewinner_büro	common	True	_	_	concatenation	concatenation
schatten_spiegel	schatten_spiegel	common	True	_	_	concatenation	concatenation
radio_halter	radio_halter	common	True	_	_	concatenation	concatenation
schnee_fleck	schnee_fleck	common	True	_	_	concatenation	concatenation
reiter_aufgebot	reiter_aufgebot	common	True	_	_	concatenation	concatenation
granat_schuss	granat_schuss	common	True	_	_	concatenation	concatenation
blei_pfeife	blei_pfeife	common	True	_	_	concatenation	concatenation
met_ontologie	meton_tologie	common	False	_	_	concatenation	concatenation
schrott_album	schrott_album	common	True	_	_	concatenation	concatenation
macht_zwang	macht_zwang	common	True	_	_	concatenation	concatenation
brust_falte	brust_falte	common	True	_	_	concatenation	concatenation
meer_land	meer_land	common	True	_	_	concatenation	concatenation
team_kollaboration	team_kollaboration	common	True	_	_	concatenation	concatenation
fond_scheibe	fond_scheibe	common	True	_	_	concatenation	concatenation
kühlschrank_ruhe	kühlschrank_ruhe	common	True	_	_	concatenation	concatenation
messe_crew	messe_crew	common	True	_	_	concatenation	concatenation
sturm_forum	sturm_forum	common	True	_	_	concatenation	concatenation
ring_strom	ring_strom	common	True	_	_	concatenation	concatenation
gewalt_verhinderung	gewalt_verhinderung	common	True	_	_	concatenation	concatenation
spielfilm_redaktion	spielfilm_redaktion	common	True	_	_	concatenation	concatenation
mainstream_judentum	mainstream_judentum	common	True	_	_	concatenation	concatenation
ried_hammer	ried_hammer	common	True	_	_	concatenation	concatenation
slot_händler	slot_händler	common	True	_	_	concatenation	concatenation
signal_zweck	signal_zweck	common	True	_	_	concatenation	concatenation
hirsch_bräu	hirsch_bräu	common	True	_	_	concatenation	concatenation
ritual_transfer	ritual_transfer	common	True	_	_	concatenation	concatenation
musik_purist	musik_purist	common	True	_	_	concatenation	concatenation
enzym_typus	enzym_typus	common	True	_	_	concatenation	concatenation
top_journalistin	top_journalistin	common	True	_	_	concatenation	concatenation
strom_konverter	strom_konverter	common	True	_	_	concatenation	concatenation
stecker_trafo	stecker_trafo	common	True	_	_	concatenation	concatenation
riss_neigung	riss_neigung	common	True	_	_	concatenation	concatenation
kai_gleis	kaig_leis	common	False	_	_	concatenation	concatenation
klima_lügner	klima_lügner	common	True	_	_	concatenation	concatenation
hopfen_note	hopfen_note	common	True	_	_	concatenation	concatenation
kern_fänger	kern_fänger	common	True	_	_	concatenation	concatenation
paläo_ökologie	paläo_ökologie	common	True	_	_	concatenation	concatenation
derby_bericht	derby_bericht	common	True	_	_	concatenation	concatenation
reise_feeling	reise_feeling	common	True	_	_	concatenation	concatenation
quarz_bügel	quarz_bügel	common	True	_	_	concatenation	concatenation
geld_seligkeit	geld_seligkeit	common	True	_	_	concatenation	concatenation
tisch_zahl	tisch_zahl	common	True	_	_	concatenation	concatenation
dialog_gremium	dialog_gremium	common	True	_	_	concatenation	concatenation
haft_zeitraum	haft_zeitraum	common	True	_	_	concatenation	concatenation
einlage_leistung	einlage_leistung	common	True	_	_	concatenation	concatenation
zwiebel_fett	zwiebel_fett	common	True	_	_	concatenation	concatenation
fach_inhalt	fach_inhalt	common	True	_	_	concatenation	concatenation
trüffel_bauer	trüffel_bauer	common	True	_	_	concatenation	concatenation
stifter_hof	stifter_hof	common	True	_	_	concatenation	concatenation
bau_richtung	bau_richtung	common	True	_	_	concatenation	concatenation
west_sieger	west_sieger	common	True	_	_	concatenation	concatenation
mega_park	mega_park	common	True	_	_	concatenation	concatenation
reifen_mix	reifen_mix	common	True	_	_	concatenation	concatenation
beweis_element	beweis_element	common	True	_	_	concatenation	concatenation
motorrad_prozession	motorrad_prozession	common	True	_	_	concatenation	concatenation
pass_einfahrt	pass_einfahrt	common	True	_	_	concatenation	concatenation
produkt_breite	produkt_breite	common	True	_	_	concatenation	concatenation
ballon_reisende	ballon_reisende	common	True	_	_	concatenation	concatenation
schmelz_halle	schmelz_halle	common	True	_	_	concatenation	concatenation
mail_gateway	mail_gateway	common	True	_	_	concatenation	concatenation
manager_krankheit	manager_krankheit	common	True	_	_	concatenation	concatenation
photovoltaik_büro	photovoltaik_büro	common	True	_	_	concatenation	concatenation
rasse_charakter	rasse_charakter	common	True	_	_	concatenation	concatenation
industrie_kooperation	industriekooperation	common	False	_	none	concatenation	none
afrika_armee	afrika_armee	common	True	_	_	concatenation	concatenation
vogel_miere	vogel_miere	common	True	_	_	concatenation	concatenation
kolonie_besitzerin	kolonie_besitzerin	common	True	_	_	concatenation	concatenation
technologie_überwachung	technologieüberwachung	common	False	_	none	concatenation	none
leser_rezension	leser_rezension	common	True	_	_	concatenation	concatenation
haupt_materie	haupt_materie	common	True	_	_	concatenation	concatenation
karo_van	karo_van	common	True	_	_	concatenation	concatenation
adler_ritter	adler_ritter	common	True	_	_	concatenation	concatenation
bitumen_schindel	bitumen_schindel	common	True	_	_	concatenation	concatenation
mädchen_hort	mädchen_hort	common	True	_	_	concatenation	concatenation
