	pred	comp_type	is_correct	target_link	pred_link	target_type	pred_type
apoll_altar	apollaltar	hapax_legomena	False	_	none	concatenation	none
fellchen_hilfe	fellche_+n_hilfe	hapax_legomena	False	_	_+n_	concatenation	addition
gilgamesch_epos	gilgameschepos	hapax_legomena	False	_	none	concatenation	none
molchen_berg	molche_+n_berg	hapax_legomena	False	_	_+n_	concatenation	addition
reinemacher_frau	reinemacher_frau	hapax_legomena	True	_	_	concatenation	concatenation
bremervörder_innen	bremervörderinnen	hapax_legomena	False	_	none	concatenation	none
albinismus_form	albinismus_form	hapax_legomena	True	_	_	concatenation	concatenation
fachsimpler_ei	fach_+s_implerei	hapax_legomena	False	_	_+s_	concatenation	addition
atrazin_wert	atrazinwert	hapax_legomena	False	_	none	concatenation	none
sharia_gericht	shariagericht	hapax_legomena	False	_	none	concatenation	none
krankmacher_übung	krank_macherübung	hapax_legomena	False	_	_	concatenation	concatenation
wassrer_rutsch	wass_rerrutsch	hapax_legomena	False	_	_	concatenation	concatenation
hosianna_ruf	hosiannaruf	hapax_legomena	False	_	none	concatenation	none
orkus_nebel	orkusnebel	hapax_legomena	False	_	none	concatenation	none
defunktion_alisierung	defunktionalisierung	hapax_legomena	False	_	none	concatenation	none
transillumination_+s_technik	transillumination_+s_technik	hapax_legomena	True	_+s_	_+s_	addition	addition
nachbeatmung_+s_zeit	nachbeatmung_+s_zeit	hapax_legomena	True	_+s_	_+s_	addition	addition
konditionalität_+s_prinzip	konditionalität_+s_prinzip	hapax_legomena	True	_+s_	_+s_	addition	addition
wiederauffrischung_+s_kurs	wiederauffrischung_+s_kurs	hapax_legomena	True	_+s_	_+s_	addition	addition
freistoß_+s_tor	freistoßstor	hapax_legomena	False	_+s_	none	addition	none
gastropode_+n_fauna	gastropode_+n_fauna	hapax_legomena	True	_+n_	_+n_	addition	addition
gefägedanke_+n_linie	gefägedanke_+n_linie	hapax_legomena	True	_+n_	_+n_	addition	addition
altarist_+en_haus	altarist_+en_haus	hapax_legomena	True	_+n_	_+n_	addition	addition
genosse_-e_innenschaft	genossinne_+n_schaft	hapax_legomena	False	_-e_	_+n_	deletion	addition
maegd_+e_frau	maegdefrau	hapax_legomena	False	_+e_	none	addition	none
maerkt_+e_trennung	maerktetrennung	hapax_legomena	False	_+e_	none	addition	none
gaeng_+e_viertel	gaengeviertel	hapax_legomena	False	_+e_	none	addition	none
raed_+er_werk	raeder_werk	hapax_legomena	False	_+er_	_	addition	concatenation
graeb_+er_feld	graeber_feld	hapax_legomena	False	_+er_	_	addition	concatenation
glaes_+er_ruecken	glaeserruecken	hapax_legomena	False	_+er_	none	addition	none
sammel_+ns_wert	sammeln_+s_wert	hapax_legomena	False	_+ns_	_+s_	addition	addition
unglaube_+ns_bekenntnis	unglauben_+s_bekenntnis	hapax_legomena	False	_+ns_	_+s_	addition	addition
