	pred	comp_type	is_correct	target_link	pred_link	target_type	pred_type
politik_darstellerin	politik_darstellerin	common	True	_	_	concatenation	concatenation
schlacht_vorgang	schlacht_vorgang	common	True	_	_	concatenation	concatenation
sound_shuttle		common	False	_	none	concatenation	none
inventur_erstellung	Inventurerstellung	common	False	_	none	concatenation	none
gips_bild	gips_bild	common	True	_	_	concatenation	concatenation
rausch_tritt	rausch_tritt	common	True	_	_	concatenation	concatenation
knie_kuhle	knie_kuhle	common	True	_	_	concatenation	concatenation
kostüm_spezialist	kostüm_spezialist	common	True	_	_	concatenation	concatenation
torf_untergrund	torf_untergrund	common	True	_	_	concatenation	concatenation
aufnahme_regel	aufnahme_regel	common	True	_	_	concatenation	concatenation
meer_blume	meer_blume	common	True	_	_	concatenation	concatenation
gas_welle	gas_welle	common	True	_	_	concatenation	concatenation
zeit_ansatz	zeit_ansatz	common	True	_	_	concatenation	concatenation
pionier_bereich	pionier_bereich	common	True	_	_	concatenation	concatenation
fahrrad_versicherer	fahrrad_versicherer	common	True	_	_	concatenation	concatenation
fahrer_engpass	fahrer_engpass	common	True	_	_	concatenation	concatenation
finger_bedienung	finger_bedienung	common	True	_	_	concatenation	concatenation
lipid_transport	lipid_transport	common	True	_	_	concatenation	concatenation
kälte_schrank	Kälteschrank	common	False	_	none	concatenation	none
schinken_spezialität	Schinkenspezialität	common	False	_	none	concatenation	none
schaum_folie	schaum_folie	common	True	_	_	concatenation	concatenation
leser_steuerung	leser_steuerung	common	True	_	_	concatenation	concatenation
nachbar_kolonne	nachbar_kolonne	common	True	_	_	concatenation	concatenation
quartier_gespräch	quartier_gespräch	common	True	_	_	concatenation	concatenation
neon_nazi		common	False	_	none	concatenation	none
macht_form	macht_form	common	True	_	_	concatenation	concatenation
welt_konstitution	welt_konstitution	common	True	_	_	concatenation	concatenation
zeh_prellung	zeh_prellung	common	True	_	_	concatenation	concatenation
generator_aufbau	generator_aufbau	common	True	_	_	concatenation	concatenation
web_pinguin	web_pinguin	common	True	_	_	concatenation	concatenation
welt_emission	Weltemission	common	False	_	none	concatenation	none
insulin_effekt	insulin_effekt	common	True	_	_	concatenation	concatenation
teil_rechung	teil_rechung	common	True	_	_	concatenation	concatenation
bonus_kriterium	bonus_kriterium	common	True	_	_	concatenation	concatenation
haupt_übersetzerin	haupt_übersetzerin	common	True	_	_	concatenation	concatenation
kraft_wurf	kraft_wurf	common	True	_	_	concatenation	concatenation
ringer_fest	ringer_fest	common	True	_	_	concatenation	concatenation
treuhand_mitarbeiter	treuhand_mitarbeiter	common	True	_	_	concatenation	concatenation
polit_serie	polit_serie	common	True	_	_	concatenation	concatenation
parameter_darstellung	parameter_darstellung	common	True	_	_	concatenation	concatenation
jahrtausend_ziel	jahrtausend_ziel	common	True	_	_	concatenation	concatenation
wasser_liberalisierung	wasser_liberalisierung	common	True	_	_	concatenation	concatenation
show_highlight	show_highlight	common	True	_	_	concatenation	concatenation
organisation_+s_verantwortung	organisation_+s_verantwortung	common	True	_+s_	_+s_	addition	addition
lösung_+s_zutritt	lösung_+s_zutritt	common	True	_+s_	_+s_	addition	addition
