	pred	comp_type	is_correct	target_link	pred_link	target_type	pred_type
hund_katze	hund_katze	invented	True	_	_	concatenation	concatenation
hund_+e_katze	hund_+e_katze	invented	True	_+e_	_+e_	addition	addition
hund_+s_katze	hund_+s_katze	invented	True	_+s_	_+s_	addition	addition
erde_-e_ei	Erdei	invented	False	_-e_	none	deletion	none
erde_ei	erde_ei	invented	True	_	_	concatenation	concatenation
erde_+n_ei	Erdenei	invented	False	_+n_	none	addition	none
pferd_wolke	pferd_wolke	invented	True	_	_	concatenation	concatenation
pferd_+e_wolke	pferde_wolke	invented	False	_+e_	_	addition	concatenation
katze_hund	Katzehund	invented	False	_	none	concatenation	none
katze_+n_hund	katze_+n_hund	invented	True	_+n_	_+n_	addition	addition
ei_erde	Eierde	invented	False	_	none	concatenation	none
ei_+er_erde	eier_erde	invented	False	_+er_	_	addition	concatenation
schwein_frosch	schwein_frosch	invented	True	_	_	concatenation	concatenation
schwein_+e_frosch	schweine_frosch	invented	False	_+e_	_	addition	concatenation
schwein_+s_frosch	schwein_+s_frosch	invented	True	_+s_	_+s_	addition	addition
maus_elefant	Mauselefant	invented	False	_	none	concatenation	none
maus_+e_elefant	maus_+e_elefant	invented	True	_+e_	_+e_	addition	addition
schaf_wolke	schaf_wolke	invented	True	_	_	concatenation	concatenation
schaf_+s_wolke	schafs_wolke	invented	False	_+s_	_	addition	concatenation
huhn_fuchs	huhn_fuchs	invented	True	_	_	concatenation	concatenation
huhn_+=er_fuchs	hühner_fuchs	invented	False	_+=er_	_	addition_umlaut	concatenation
elefant_erdbeere	Elefanterdbeere	invented	False	_	none	concatenation	none
elefant_+en_erdbeere	elefant_+en_erdbeere	invented	True	_+n_	_+n_	addition	addition
münz_-e_knopf	münz_knopf	invented	False	_-e_	_	deletion	concatenation
münze_+n_knopf	münze_+n_knopf	invented	True	_+n_	_+n_	addition	addition
gans_würfel	gans_würfel	invented	True	_	_	concatenation	concatenation
gans_=e_würfel	Gans=ewürfel	invented	False	_	none	concatenation	none
birne_-e_bus	birne_-e_bus	invented	True	_-e_	_-e_	deletion	deletion
birne_+n_bus	birne_+n_bus	invented	True	_+n_	_+n_	addition	addition
hahn_hund	hahn_hund	invented	True	_	_	concatenation	concatenation
hahn_+en_hund	hahn_+en_hund	invented	True	_+n_	_+n_	addition	addition
krokodil_ente	Krokodilente	invented	False	_	none	concatenation	none
krokodil_+s_ente	Krokodilsente	invented	False	_+s_	none	addition	none
papagei_krokodil	papagei_krokodil	invented	True	_	_	concatenation	concatenation
papagei_+en_krokodil	papagei_+en_krokodil	invented	True	_+n_	_+n_	addition	addition
bär_hund	bär_hund	invented	True	_	_	concatenation	concatenation
bär_+en_hund	bär_+en_hund	invented	True	_+n_	_+n_	addition	addition
strauß_palme	strauß_palme	invented	True	_	_	concatenation	concatenation
strauß_+en_palme	strauß_+en_palme	invented	True	_+n_	_+n_	addition	addition
pfau_palme	pfau_palme	invented	True	_	_	concatenation	concatenation
pfau_+en_palme	pfau_+en_palme	invented	True	_+n_	_+n_	addition	addition
schwan_trompete	schwan_trompete	invented	True	_	_	concatenation	concatenation
schwan_+en_trompete	schwane_+n_trompete	invented	False	_+n_	_+n_	addition	addition
alligator_ente	Alligatorente	invented	False	_	none	concatenation	none
alligator_+en_ente	alligator_+en_ente	invented	True	_+n_	_+n_	addition	addition
erdbeere_-e_ananas	erdbeere_-e_ananas	invented	True	_-e_	_-e_	deletion	deletion
erdbeere_+n_ananas	erdbeere_+n_ananas	invented	True	_+n_	_+n_	addition	addition
